sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 06, 2025 08:55:35

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
        +u_efx_fifo_top:efx_fifo_top_08f78b88b985402c909273612d734444(FAMILY="TITANIUM",BYPASS_RESET_SYNC=1,DEPTH=64,DATA_WIDTH=1,PIPELINE_REG=0,OPTIONAL_FLAGS=0,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
         +xefx_fifo_ram:efx_fifo_ram_08f78b88b985402c909273612d734444(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=1,RDATA_WIDTH=1,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       1(1)	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	     0(0)	
         +xefx_fifo_ctl:efx_fifo_ctl_08f78b88b985402c909273612d734444(SYNC_CLK=0,WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PIPELINE_REG=0,ALMOST_FLAG=0,PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     56(28)	       0(0)	     13(13)	      28(9)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_08f78b88b985402c909273612d734444(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_addr_sync:efx_asyncreg_08f78b88b985402c909273612d734444(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_08f78b88b985402c909273612d734444(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_addr_sync:efx_asyncreg_08f78b88b985402c909273612d734444(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +bram_u1:bram_wrapper_fifo_08f78b88b985402c909273612d734444	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
        +u_efx_fifo_top:efx_fifo_top_08f78b88b985402c909273612d734444(FAMILY="TITANIUM",BYPASS_RESET_SYNC=1,DEPTH=64,DATA_WIDTH=1,PIPELINE_REG=0,OPTIONAL_FLAGS=0,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
         +xefx_fifo_ram:efx_fifo_ram_08f78b88b985402c909273612d734444(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=1,RDATA_WIDTH=1,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       1(1)	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	     0(0)	
         +xefx_fifo_ctl:efx_fifo_ctl_08f78b88b985402c909273612d734444(SYNC_CLK=0,WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PIPELINE_REG=0,ALMOST_FLAG=0,PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     56(28)	       0(0)	     13(13)	      28(9)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_08f78b88b985402c909273612d734444(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_addr_sync:efx_asyncreg_08f78b88b985402c909273612d734444(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_08f78b88b985402c909273612d734444(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_addr_sync:efx_asyncreg_08f78b88b985402c909273612d734444(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +bram_u0:bram_wrapper_fifo_08f78b88b985402c909273612d734444	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
        +u_efx_fifo_top:efx_fifo_top_08f78b88b985402c909273612d734444(FAMILY="TITANIUM",BYPASS_RESET_SYNC=1,DEPTH=64,DATA_WIDTH=1,PIPELINE_REG=0,OPTIONAL_FLAGS=0,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
         +xefx_fifo_ram:efx_fifo_ram_08f78b88b985402c909273612d734444(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=1,RDATA_WIDTH=1,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       1(1)	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	     0(0)	
         +xefx_fifo_ctl:efx_fifo_ctl_08f78b88b985402c909273612d734444(SYNC_CLK=0,WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PIPELINE_REG=0,ALMOST_FLAG=0,PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     56(28)	       0(0)	     13(13)	      28(9)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_08f78b88b985402c909273612d734444(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_addr_sync:efx_asyncreg_08f78b88b985402c909273612d734444(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_08f78b88b985402c909273612d734444(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_addr_sync:efx_asyncreg_08f78b88b985402c909273612d734444(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +map_ram:user_dual_port_ram_08f78b88b985402c909273612d734444(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	     24(24)	     0(0)	     4(4)	     0(0)	
     +rst_top0:reset_ctrl_08f78b88b985402c909273612d734444(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	      10(0)	       2(0)	       0(0)	       2(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_08f78b88b985402c909273612d734444(OUT_RST_ACTIVE="LOW",CYCLE=5)	       5(5)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_08f78b88b985402c909273612d734444(OUT_RST_ACTIVE="LOW",CYCLE=5)	       5(5)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +phase_u0:phase_shift_08f78b88b985402c909273612d734444 	     11(11)	       0(0)	       0(0)	     12(12)	     0(0)	     0(0)	     0(0)	
 +axi4_awar_mux:AXI4_AWARMux(AID_LEN=4)                     	       6(6)	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	     0(0)	
 +u_i2c_timing_ctrl_16bit:i2c_timing_ctrl_16bit(CLK_FREQ=96000000,I2C_FREQ=100000)	    113(91)	       0(0)	     47(42)	   226(219)	     0(0)	     0(0)	     0(0)	
  +u_afifo_w24d16_r24d16:afifo_w24d16_r24d16                	      22(0)	       0(0)	       5(0)	       7(0)	     0(0)	     0(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_e9c0f54539de4269828548a1c4068f22(FAMILY="TITANIUM",MODE="FWFT",DEPTH=16,DATA_WIDTH=24,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=13,PROG_FULL_NEGATE=13,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0,OVERFLOW_PROTECT=0,UNDERFLOW_PROTECT=0)	      22(0)	       0(0)	       5(0)	       7(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_e9c0f54539de4269828548a1c4068f22(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_e9c0f54539de4269828548a1c4068f22(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_e9c0f54539de4269828548a1c4068f22(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=13,PROG_FULL_NEGATE=13,HANDSHAKE_FLAG=0)	     20(10)	       0(0)	       5(5)	       7(3)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_e9c0f54539de4269828548a1c4068f22(WIDTH=5,ACTIVE_LOW=0)	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_e9c0f54539de4269828548a1c4068f22	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e9c0f54539de4269828548a1c4068f22(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e9c0f54539de4269828548a1c4068f22(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e9c0f54539de4269828548a1c4068f22(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +dsi_pwm:PWMLite                                           	       8(8)	       0(0)	       6(6)	       2(2)	     0(0)	     0(0)	     0(0)	
 +mipi_rx_0:csi_rx                                          	     796(0)	       0(0)	     158(0)	    1636(0)	     0(0)	     8(0)	     0(0)	
  +u_efx_csi2_rx:efx_csi2_rx_395e1dacd0ee459c8121d2c050c73db8(tINIT_NS=1000,NUM_DATA_LANE=1,CLOCK_FREQ_MHZ=96,DPHY_CLOCK_MODE="Discontinuous",ENABLE_USER_DESKEWCAL=1'b0,ENABLE_VCX=1'b0,PACK_TYPE=15)	     796(0)	       0(0)	     158(0)	    1636(0)	     0(0)	     8(0)	     0(0)	
