sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 06, 2025 08:55:35

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
   +dphy_rx_inst:efx_dphy_rx_395e1dacd0ee459c8121d2c050c73db8(CLOCK_FREQ_MHZ=96,NUM_DATA_LANE=1,ENABLE_USER_DESKEWCAL=1'b0,DPHY_CLOCK_MODE="Discontinuous")	     132(0)	       0(0)	      21(0)	     221(0)	     0(0)	     0(0)	     0(0)	
    +rx_clane_fsm_inst0:dphy_rx_clane_fsm_395e1dacd0ee459c8121d2c050c73db8(CLOCK_FREQ_MHZ=96)	     18(18)	       0(0)	       9(9)	     33(33)	     0(0)	     0(0)	     0(0)	
    +genblk3[0].rx_dlane_fsm_inst:dphy_rx_dlane_fsm_395e1dacd0ee459c8121d2c050c73db8(CLOCK_FREQ_MHZ=96)	     33(33)	       0(0)	     12(12)	     93(93)	     0(0)	     0(0)	     0(0)	
    +genblk3[0].rx_dword_align_inst:dphy_rx_dword_align_395e1dacd0ee459c8121d2c050c73db8	     81(81)	       0(0)	       0(0)	     95(95)	     0(0)	     0(0)	     0(0)	
   +csi2_rx_top_inst:efx_csi2_rx_top_395e1dacd0ee459c8121d2c050c73db8(HS_DATA_WIDTH=8,tINIT_NS=1000,CLOCK_FREQ_MHZ=96,NUM_DATA_LANE=1,PACK_TYPE=15,ENABLE_VCX=1'b0)	    664(27)	       0(0)	    137(17)	   1415(12)	     0(0)	     8(0)	     0(0)	
    +syncreg_1:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +syncreg_2:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +depacketizer_inst:efx_csi2_depacketizer_395e1dacd0ee459c8121d2c050c73db8(ENABLE_VCX=1'b0)	   167(142)	       0(0)	     17(17)	   319(235)	     0(0)	     0(0)	     0(0)	
     +genblk4.ecc_check_inst:efx_csi2_ecc_check_395e1dacd0ee459c8121d2c050c73db8	     25(25)	       0(0)	       0(0)	     84(84)	     0(0)	     0(0)	     0(0)	
    +genblk2.lane_aligner_inst:efx_csi2_lane_aligner_395e1dacd0ee459c8121d2c050c73db8(NUM_DATA_LANE=1)	      18(1)	       0(0)	       5(0)	      14(1)	     0(0)	     1(0)	     0(0)	
     +genblk1[0].u1_inst:efx_fifo_top_395e1dacd0ee459c8121d2c050c73db8(SYNC_CLK=1,MODE="FWFT",DEPTH=16,DATA_WIDTH=8,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	      17(0)	       0(0)	       5(0)	      13(0)	     0(0)	     1(0)	     0(0)	
      +genblk2.efx_resetsync_a_rst:efx_resetsync_395e1dacd0ee459c8121d2c050c73db8(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_395e1dacd0ee459c8121d2c050c73db8(WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_395e1dacd0ee459c8121d2c050c73db8(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     15(15)	       0(0)	       5(5)	     13(13)	     0(0)	     0(0)	     0(0)	
    +genblk3.byte2pixel_inst:efx_csi2_byte2pixel_395e1dacd0ee459c8121d2c050c73db8(PIXEL_FIFO_DEPTH=1024,ENABLE_VCX=1'b0,PACK_TYPE=15)	    448(40)	       0(0)	     98(65)	  1070(193)	     0(0)	     7(0)	     0(0)	
     +syncreg_0:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_1:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_2:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_3:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_4:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_5:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_6:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_7:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_8:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_9:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_10:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_11:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_12:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_13:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_14:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_15:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_16:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_17:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_18:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_20:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=2)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_23:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=16)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_24:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_25:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_26:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk2.depack40bit_inst:efx_csi2_depack40bit_395e1dacd0ee459c8121d2c050c73db8	     51(51)	       0(0)	       0(0)	   102(102)	     0(0)	     0(0)	     0(0)	
     +genblk3.depack48bit_inst:efx_csi2_depack48bit_395e1dacd0ee459c8121d2c050c73db8	     75(75)	       0(0)	       0(0)	   109(109)	     0(0)	     0(0)	     0(0)	
     +genblk4.depack56bit_inst:efx_csi2_depack56bit_395e1dacd0ee459c8121d2c050c73db8	     85(85)	       0(0)	       0(0)	   208(208)	     0(0)	     0(0)	     0(0)	
     +genblk5.depack64bit_inst:efx_csi2_depack64bit_395e1dacd0ee459c8121d2c050c73db8	     33(33)	       0(0)	       0(0)	     64(64)	     0(0)	     0(0)	     0(0)	
     +u1_inst:efx_fifo_top_395e1dacd0ee459c8121d2c050c73db8(MODE="FWFT",DEPTH=1024,DATA_WIDTH=64,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=1024,PROG_FULL_NEGATE=1024,PROG_EMPTY_ASSERT=1,PROG_EMPTY_NEGATE=1)	     114(0)	       0(0)	      33(0)	     394(0)	     0(0)	     7(0)	     0(0)	
      +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_395e1dacd0ee459c8121d2c050c73db8(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_395e1dacd0ee459c8121d2c050c73db8(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_395e1dacd0ee459c8121d2c050c73db8(WR_DEPTH=1024,RD_DEPTH=1024,WDATA_WIDTH=64,RDATA_WIDTH=64,WADDR_WIDTH=10,RADDR_WIDTH=10,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	   335(335)	     0(0)	     7(7)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_395e1dacd0ee459c8121d2c050c73db8(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=1024,WADDR_WIDTH=10,RADDR_WIDTH=10,ALMOST_FLAG=0,PROG_FULL_ASSERT=1024,PROG_FULL_NEGATE=1024,PROGRAMMABLE_EMPTY="STATIC_DUAL",PROG_EMPTY_ASSERT=1,PROG_EMPTY_NEGATE=1,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	    110(66)	       0(0)	     33(33)	     59(19)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_addr_sync:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11,ACTIVE_LOW=0)	     22(22)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_addr_sync:efx_asyncreg_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11,ACTIVE_LOW=0)	     22(22)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_395e1dacd0ee459c8121d2c050c73db8(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_afifo_w32r8_reshape:afifo_w32r8_reshape                 	      80(0)	       0(0)	      38(0)	      32(0)	     0(0)	    16(0)	     0(0)	
  +u_efx_fifo_top:efx_fifo_top_55b5b11c036a4f359ca6469ab65de9b2(FAMILY="TITANIUM",MODE="FWFT",DEPTH=4096,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=4,PROG_FULL_NEGATE=4,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0,ASYM_WIDTH_RATIO=2,ENDIANESS=1,OVERFLOW_PROTECT=0,UNDERFLOW_PROTECT=0)	      80(0)	       0(0)	      38(0)	      32(0)	     0(0)	    16(0)	     0(0)	
   +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_55b5b11c036a4f359ca6469ab65de9b2(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +active_high.efx_resetsync_active_high:efx_asyncreg_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_55b5b11c036a4f359ca6469ab65de9b2(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +active_high.efx_resetsync_active_high:efx_asyncreg_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +xefx_fifo_ram:efx_fifo_ram_55b5b11c036a4f359ca6469ab65de9b2(FAMILY="TITANIUM",WR_DEPTH=4096,RD_DEPTH=16384,WDATA_WIDTH=32,WADDR_WIDTH=12,RADDR_WIDTH=14,OUTPUT_REG=0,ENDIANESS=1)	       1(1)	       0(0)	       0(0)	     10(10)	     0(0)	   16(16)	     0(0)	
   +xefx_fifo_ctl:efx_fifo_ctl_55b5b11c036a4f359ca6469ab65de9b2(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=4096,WADDR_WIDTH=12,RADDR_WIDTH=14,ASYM_WIDTH_RATIO=2,RAM_MUX_RATIO=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=4,PROG_FULL_NEGATE=4,HANDSHAKE_FLAG=0)	     75(49)	       0(0)	     38(38)	      22(0)	     0(0)	     0(0)	     0(0)	
    +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=13)	       0(0)	       0(0)	       0(0)	     12(12)	     0(0)	     0(0)	     0(0)	
    +async_clk.wr2rd_addr_sync:efx_asyncreg_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=13,ACTIVE_LOW=0)	     26(26)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
    +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=13)	       0(0)	       0(0)	       0(0)	       9(0)	     0(0)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(0)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=11)	       0(0)	       0(0)	       0(0)	       9(0)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_55b5b11c036a4f359ca6469ab65de9b2(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +DR0:delay_reg(delay_level=1280)                           	 1272(1272)	   164(164)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
 +u_Sensor_Image_XYCrop:Sensor_Image_XYCrop(IMAGE_VSIZE_SOURCE=960,IMAGE_YSIZE_TARGET=720,PIXEL_DATA_WIDTH=8)	     35(35)	       0(0)	     23(23)	     30(30)	     0(0)	     0(0)	     0(0)	
 +u_isp_stat_ae:isp_stat_ae                                 	   114(114)	       0(0)	     82(82)	   599(597)	     0(0)	     0(0)	     0(0)	
  +hist_ram_raw:hist_stat(ADDR_BITS=10,DATA_BITS=32)        	       0(0)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
 +u_alg_ae:alg_ae                                           	     66(66)	       0(0)	   697(697)	 1725(1725)	     0(0)	     0(0)	     8(8)	
 +u1_i2c_timing_ctrl_16bit:i2c_timing_ctrl_16bit(CLK_FREQ=96000000)	    128(94)	       0(0)	     47(42)	   161(146)	     0(0)	     2(0)	     0(0)	
  +u_afifo_w24d16_r24d16:afifo_w24d16_r24d16                	      34(0)	       0(0)	       5(0)	      15(0)	     0(0)	     2(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_e9c0f54539de4269828548a1c4068f22(FAMILY="TITANIUM",MODE="FWFT",DEPTH=16,DATA_WIDTH=24,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=13,PROG_FULL_NEGATE=13,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0,OVERFLOW_PROTECT=0,UNDERFLOW_PROTECT=0)	      34(0)	       0(0)	       5(0)	      15(0)	     0(0)	     2(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_e9c0f54539de4269828548a1c4068f22(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_e9c0f54539de4269828548a1c4068f22(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_e9c0f54539de4269828548a1c4068f22(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_e9c0f54539de4269828548a1c4068f22(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_e9c0f54539de4269828548a1c4068f22(FAMILY="TITANIUM",WR_DEPTH=16,RD_DEPTH=16,WDATA_WIDTH=24,RDATA_WIDTH=24,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_e9c0f54539de4269828548a1c4068f22(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=13,PROG_FULL_NEGATE=13,HANDSHAKE_FLAG=0)	     30(20)	       0(0)	       5(5)	      15(8)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_e9c0f54539de4269828548a1c4068f22	       0(0)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_e9c0f54539de4269828548a1c4068f22(WIDTH=5,ACTIVE_LOW=0)	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_e9c0f54539de4269828548a1c4068f22	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e9c0f54539de4269828548a1c4068f22(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e9c0f54539de4269828548a1c4068f22(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_e9c0f54539de4269828548a1c4068f22(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +ori_bayer2rgb:VIP_RAW8_RGB888(IMG_HDISP=1280,IMG_VDISP=720)	    245(53)	       0(0)	    139(86)	    204(60)	     0(0)	     4(0)	     0(0)	
